Neighborhood,Total.Pop,Med.Income,Med.Age,Med.Age.M,Med.Age.F
Bayview Hunters Point,37537,22120,34.9,33.2,38.6
Bernal Heights,25840,50952,38.1,37.9,38.1
Castro/Upper Market,20263,86998.5,42.5,44.65,37.15
Chinatown,14597,19525.5,50.65,48.45,53.55
Excelsior,39662,24845.5,40.15,38.6,40.9
Financial District/South Beach,16544,97534,45,40.9,45.7
Glen Park,8317,66238,42.15,41.8,42.6
Golden Gate Park,45,109604,42,33.7,NA
Haight Ashbury,17916,75047.5,35.1,36.7,32.85
Hayes Valley,17773,56081,35.1,37.9,32.6
Inner Richmond,21340,52642.5,38.7,37.1,39.2
Inner Sunset,28021,55866.5,35.7,36.95,35.3
Japantown,3918,55654,47.7,41.9,53.2
Lakeshore,13223,25463,29.7,28.5,32.45
Lincoln Park,299,33490,62.5,68.8,61.5
Lone Mountain/USF,17175,48221,35.3,37.4,33.6
Marina,24846,88687,34.1,33.8,34.8
McLaren Park,850,13967,39.2,40,35.7
Mission,56480,42994,36.4,36.8,35.7
Mission Bay,9804,65695,33.8,33.7,34
Nob Hill,25542,51440,37.9,37.3,34.2
Noe Valley,22384,82278,40.15,40.35,38.65
North Beach,12756,55313,40.1,38.3,43.2
Oceanview/Merced/Ingleside,27393,25712,42.5,40.2,43.4
Outer Mission,23610,25257,41.2,41.6,41
Outer Richmond,44984,40541.5,40.85,41.1,44.55
Pacific Heights,23669,93739,35.6,34.5,35.7
Portola,15937,28801,38.75,38.25,39.9
Potrero Hill,13102,89794.5,36.85,37.05,36.8
Presidio,3451,80608,31.6,33.2,29.9
Presidio Heights,10409,88348,38.95,37.45,39.7
Russian Hill,18609,78073,35.85,37.2,34.15
Seacliff,2357,108604,44.7,44.1,45.1
South of Market,17825,45675.5,41.45,43.55,39.75
Sunset/Parkside,79793,36550.5,42.5,42.25,42.35
Tenderloin,27636,21502,38.25,40.45,38.65
Treasure Island,3083,14101,26.1,24.9,27.1
Twin Peaks,6953,61203,45.65,44.4,45.85
Visitacion Valley,17450,18638,41.1,40.2,41.7
West of Twin Peaks,37280,63888,46.4,45.4,47.5
Western Addition,20399,49317,38.55,37.05,40.7
